"Reference.1","M_Temp","M_Precip","m_Age"
"Bondarev, 1997",-13.2823529411765,289.823529411765,189.909090909091
"CERN",13.5666666666667,1235,87
"Chang et al., 1997",-3.7,347,204.333333333333
"China’s Forest Editorial Committee, 1999",-0.985714285714286,470.142857142857,215.857142857143
"Fenget al., 1999",9,850,350
"Hudiburget al., 2009",7.79767441860465,2275.62790697674,423.255813953488
"Kajimoto et al., 2006",-9.84,610,158.333333333333
"Keetonet al., 2010",7,800,216.666666666667
"Keith et al., 2009",10.7210084033613,1593.31932773109,500
"Liu et al. 2014",-3.23333333333333,596.333333333333,163
"Luo, 1996",5.2010101010101,888.656565656566,129.750841750842
"Luyssaert et al., 2007",7.25535714285714,1203.60714285714,162.081632653061
"Ma et al., 2012",-0.108333333333333,617.9375,137.447916666667
"Tan et al., 2011",11.3,1840,300
"Zhou et al., 2002",-4.66666666666667,445.666666666667,148.666666666667
"Zhu et al., 2005",-2,459,83.5
